GEOID10,Municipality,State,TotPop,Scenario,CommitYear,Lat,Lon
3620379,Dering Harbor,NY,11,rcp85,2079,41.0922,-72.3413
1275625,Weeki Wachee,FL,12,rcp85,2097,28.5166,-82.5799
2463225,Port Tobacco Village,MD,13,rcp85,2096,38.5107,-77.0195
1243250,Marineland,FL,16,rcp85,1992,29.6647,-81.2138
1243250,Marineland,FL,16,rcp26,1992,29.6647,-81.2138
1234175,Islandia,FL,18,rcp85,1971,25.4147,-80.2074
1234175,Islandia,FL,18,rcp26,1971,25.4147,-80.2074
1239750,Lazy Lake,FL,24,rcp85,1999,26.1563,-80.1452
1239750,Lazy Lake,FL,24,rcp26,1999,26.1563,-80.1452
2555090,Popponesset Island,MA,26,rcp85,2026,41.5838,-70.4601
2555090,Popponesset Island,MA,26,rcp26,2030,41.5838,-70.4601
3664881,Saltaire,NY,37,rcp85,1963,40.6381,-73.1947
3664881,Saltaire,NY,37,rcp26,1963,40.6381,-73.1947
625590,Freeport,CA,38,rcp85,2048,38.4628,-121.5022
2481925,Waterview,MD,40,rcp85,2025,38.2487,-75.9
2481925,Waterview,MD,40,rcp26,2028,38.2487,-75.9
927810,Fenwick,CT,43,rcp85,2059,41.2711,-72.3546
2484225,Whitehaven,MD,43,rcp85,1983,38.2698,-75.7947
1204250,Bayport,FL,43,rcp85,2016,28.5431,-82.644
2484225,Whitehaven,MD,43,rcp26,1983,38.2698,-75.7947
1204250,Bayport,FL,43,rcp26,2016,28.5431,-82.644
1238000,Lake Harbor,FL,45,rcp85,2054,26.6884,-80.8079
2482625,West Denton,MD,52,rcp85,2055,38.8895,-75.8389
2426025,Elliott,MD,52,rcp85,2047,38.3081,-76.0107
3680186,West Hampton Dunes,NY,55,rcp85,2005,40.7789,-72.7064
3680186,West Hampton Dunes,NY,55,rcp26,2005,40.7789,-72.7064
4860164,Quintana,TX,56,rcp85,2004,28.9339,-95.3071
4860164,Quintana,TX,56,rcp26,2004,28.9339,-95.3071
2425600,Eldorado,MD,59,rcp85,2022,38.5829,-75.7903
2425600,Eldorado,MD,59,rcp26,2024,38.5829,-75.7903
2410575,Brookview,MD,60,rcp85,2084,38.574,-75.793
2424200,Eagle Harbor,MD,63,rcp85,2058,38.5665,-76.6868
2274550,Taft,LA,63,rcp85,2033,29.9851,-90.4524
2274550,Taft,LA,63,rcp26,2050,29.9851,-90.4524
1256840,Pine Island,FL,64,rcp85,1984,28.5724,-82.6548
1256840,Pine Island,FL,64,rcp26,1984,28.5724,-82.6548
3472480,Teterboro,NJ,67,rcp85,2024,40.853,-74.0604
3472480,Teterboro,NJ,67,rcp26,2026,40.853,-74.0604
4825397,Falman,TX,76,rcp85,2052,27.9281,-97.1713
3654430,Ocean Beach,NY,79,rcp85,1972,40.6463,-73.1565
3654430,Ocean Beach,NY,79,rcp26,1972,40.6463,-73.1565
4865756,Santa Monica,TX,83,rcp85,2090,#N/A,#N/A
5352378,Oyehut,WA,85,rcp85,2070,47.0218,-124.1635
1233425,Indian Creek,FL,86,rcp85,2026,25.8782,-80.1372
1233425,Indian Creek,FL,86,rcp26,2029,25.8782,-80.1372
5364190,Silvana,WA,90,rcp85,2095,48.2018,-122.2461
5314520,Conway,WA,91,rcp85,1922,48.3357,-122.3444
5314520,Conway,WA,91,rcp26,1922,48.3357,-122.3444
2438500,Highland Beach,MD,96,rcp85,2073,38.9321,-76.4665
2560627,Seconsett Island,MA,100,rcp85,2052,41.5668,-70.5122
2430567,Frenchtown-Rumbly,MD,100,rcp85,1986,38.0745,-75.8533
2430567,Frenchtown-Rumbly,MD,100,rcp26,1986,38.0745,-75.8533
2454930,Nanticoke Acres,MD,103,rcp85,2044,38.2578,-75.9058
4555015,Pawleys Island,SC,103,rcp85,1922,33.4281,-79.125
4555015,Pawleys Island,SC,103,rcp26,1922,33.4281,-79.125
2418200,Cobb Island,MD,104,rcp85,1993,38.2642,-76.8504
2418200,Cobb Island,MD,104,rcp26,1993,38.2642,-76.8504
2467500,Rock Point,MD,107,rcp85,2059,38.2755,-76.8428
1205150,Belleair Shore,FL,109,rcp85,2020,27.9171,-82.8454
1205150,Belleair Shore,FL,109,rcp26,2022,27.9171,-82.8454
3733460,Indian Beach,NC,112,rcp85,2038,34.6867,-76.9016
4819714,Del Mar Heights,TX,113,rcp85,2054,26.0566,-97.4235
5121776,Deep Creek,VA,115,rcp85,2003,37.7599,-75.7527
5121776,Deep Creek,VA,115,rcp26,2003,37.7599,-75.7527
5105200,Bayside,VA,120,rcp85,2048,37.7548,-75.7129
1033900,Henlopen Acres,DE,122,rcp85,2047,38.7256,-75.085
1379164,Vernonburg,GA,122,rcp85,2026,31.9669,-81.1195
1379164,Vernonburg,GA,122,rcp26,2031,31.9669,-81.1195
2417050,Church Creek,MD,125,rcp85,2000,38.505,-76.154
5144952,Lee Mont,VA,125,rcp85,2081,37.7799,-75.6802
2417050,Church Creek,MD,125,rcp26,2000,38.505,-76.154
2417000,Choptank,MD,129,rcp85,2031,38.6823,-75.9494
3731880,Hobucken,NC,129,rcp85,1969,35.2518,-76.5731
4854186,Orason,TX,129,rcp85,2079,26.0743,-97.4458
2417000,Choptank,MD,129,rcp26,2043,38.6823,-75.9494
3731880,Hobucken,NC,129,rcp26,1969,35.2518,-76.5731
2265850,Romeville,LA,130,rcp85,2069,30.0682,-90.8323
3628990,Gilgo,NY,131,rcp85,2023,40.6362,-73.3838
5174160,Southside Chesconessex,VA,131,rcp85,2004,37.744,-75.7787
5135240,Harborton,VA,131,rcp85,2004,37.6596,-75.8332
3628990,Gilgo,NY,131,rcp26,2025,40.6362,-73.3838
5174160,Southside Chesconessex,VA,131,rcp26,2004,37.744,-75.7787
5135240,Harborton,VA,131,rcp26,2004,37.6596,-75.8332
1222375,Fisher Island,FL,132,rcp85,1989,25.761,-80.1421
1222375,Fisher Island,FL,132,rcp26,1989,25.761,-80.1421
5320680,Edison,WA,133,rcp85,1968,48.5602,-122.431
2464475,Quantico,MD,133,rcp85,2066,38.3767,-75.7526
5320680,Edison,WA,133,rcp26,1968,48.5602,-122.431
1253500,Otter Creek,FL,134,rcp85,2096,#N/A,#N/A
4152000,Neskowin,OR,134,rcp85,2075,45.1208,-123.9763
3771440,Waves,NC,134,rcp85,2004,35.5657,-75.4651
3771440,Waves,NC,134,rcp26,2004,35.5657,-75.4651
1213050,Cloud Lake,FL,135,rcp85,2049,26.6744,-80.0733
3417815,Diamond Beach,NJ,136,rcp85,1983,38.9589,-74.852
3417815,Diamond Beach,NJ,136,rcp26,1983,38.9589,-74.852
2431250,Galestown,MD,138,rcp85,2056,38.5626,-75.7158
655048,Pajaro Dunes,CA,144,rcp85,2060,36.8682,-121.8057
1217450,Dickerson City,FL,146,rcp85,2028,30.4776,-87.069
1217450,Dickerson City,FL,146,rcp26,2035,30.4776,-87.069
2541960,Monomoscoy Island,MA,147,rcp85,2034,41.5759,-70.4992
4805036,Austwell,TX,147,rcp85,2097,28.3911,-96.8437
2541960,Monomoscoy Island,MA,147,rcp26,2053,41.5759,-70.4992
5371680,Tokeland,WA,151,rcp85,1985,46.7088,-123.9834
