Scenario,Year,NumCities
highpollution,1950,49
highpollution,1960,55
highpollution,1970,78
highpollution,1980,113
highpollution,1990,149
highpollution,2000,205
highpollution,2010,297
highpollution,2020,381
highpollution,2030,487
highpollution,2040,595
highpollution,2050,715
highpollution,2060,849
highpollution,2070,1002
highpollution,2080,1159
highpollution,2090,1289
highpollution,2100,1429
lowpollution,1950,49
lowpollution,1960,55
lowpollution,1970,78
lowpollution,1980,113
lowpollution,1990,149
lowpollution,2000,205
lowpollution,2010,296
lowpollution,2020,371
lowpollution,2030,439
lowpollution,2040,493
lowpollution,2050,522
lowpollution,2060,534
lowpollution,2070,550
lowpollution,2080,555
lowpollution,2090,555
lowpollution,2100,555
